C1,C2,C3,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,radius,nu
1.26516081,0.0104791,0.00084013,347.97698128,2.70170896,0.14299061,20.04481861,0.2730731,0.18670892,0.00127058,0.00769777,0.00610687,0.01891277,0.00405098,0.2,0.25
12.51569894,0.33874496,0.08578806,300.11240045,6.29789346,-0.76379654,176.64069505,8.63732034,4.96372643,0.01969045,0.78632625,0.54640131,1.75374516,0.42311493,0.62,0.25
36.16269805,1.72227236,0.75529891,211.13061665,4.4881059,-7.51222505,450.02639315,41.97284573,21.7443312,0.22413247,6.70986206,4.08100038,13.88972118,3.82059859,1.04,0.25
73.31989896,5.12628192,3.27034955,61.32990425,-8.43568697,-24.24084869,794.87310043,116.36574664,55.57206874,1.56351337,26.77794775,14.77119155,53.45746687,17.28937035,1.46,0.25
125.95104735,11.91568613,10.12227003,-185.20111771,-43.67163813,-54.64941459,1170.72718718,240.24025501,108.79306481,6.42027707,70.29308172,38.0223505,144.67299265,56.52767511,1.88,0.25
196.94275175,23.99793019,25.3052873,-551.8410598,-113.79652181,-102.2430328,1536.19570724,400.63056851,181.03919179,20.24451966,129.34082686,79.58932522,309.93659367,146.42258384,2.30,0.25
292.19045168,44.38160877,55.20525545,-1071.02925839,-230.40325509,-168.22983902,1848.84363615,543.74990946,274.24452371,53.13939908,153.0829457,143.82143542,559.49287653,313.30004767,2.72,0.25
400.92783577,75.10807789,92.65815249,-1436.86281886,-381.3131937,-239.45974461,2013.4235923,661.79681207,342.83193959,96.23219838,82.76413665,178.22281736,757.68717504,439.49384227,3.14,0.25
537.56821064,120.97612205,146.92503746,-1799.92242429,-548.75336399,-284.63837249,2018.73074986,674.67165138,382.58609463,136.8601246,-93.56248641,188.99545964,910.93607508,544.88164039,3.56,0.25
708.40964565,187.34406395,219.90476861,-1994.10777672,-657.50835631,-286.73770267,1806.89670553,523.55787811,371.04191191,127.85656773,-331.58774642,142.481204,894.22925968,508.16795658,3.98,0.25
861.49458583,254.53404982,281.25853619,-1806.72639249,-673.41772369,-243.86527032,1442.8465731,369.20467903,272.71963177,80.27979687,-444.89305424,64.94061978,707.07107482,356.75311783,4.40,0.25
1003.69298177,317.97469113,335.85719145,-1375.09137887,-531.83502803,-178.62505287,978.53523487,174.80127926,164.04850964,17.32556855,-414.23577896,-3.43803983,448.49694743,176.06106415,4.82,0.25
